"number","week","datum","title","description",
1,"9.1","29-2-2024","Kickoff - Laravel project maken","Je begint met het installeren en configureren van een nieuw Laravel project voor je website. Ook installeer je een authentication starter kit, zodat gebruikers kunnen registreren en inloggen.",
2,"9.2","29-1-2024","Design - Tailwind CSS / Layouts","Je leert hoe een layout en een view samenwerken. Je past de Tailwind CSS aan met jouw eigen kleuren en fonts en gebruikt SASS en Laravel Mix om je frontend assets te compileren. Je zet je design en layout om in layout in Laravel. "
3,"9.3","1-3-2024","Navigatie - Routes & Controllers","Je maakt een menu met links naar alle pagina’s op jouw website. Je maakt routes en controllers aan waar je later in verder kunt werken",
4,"9.4","1-2-2025","Database - Migrations en Seeders","Je ontwerpt de data structuur voor jouw website en maakt de juiste model classes en migrations voor jouw database. Je maakt een seeder die alvast wat gegevens in de database zet om mee te werken.",
5,"9.5","1-2-2025","Database - Controllers en Models","Je gaat de informatie uit de database met behulp van Controllers en Models ophalen.",
6,"9.6","1-2-2025","Weergave - Controllers en Models","Je gaat verder met de vorige opdracht om informatie uit de database weer te geven.",
7,"9.7","1-2-2025","CRUD - Forms & validatie (toevoegen gegevens)","Je gaat CRUD (Create-Read-Update-Delete) functionaliteit maken voor de gegevens op jouw website. Hiervoor maak je form(s) en leer je over het valideren van gegevens d.m.v. requests en validation rules",
8,"9.8","1-2-2025","CRUD - Aanpassen & verwijderen","Je zorgt dat de ingevoerde gegevens ook aangepast kunnen worden.",
9,"9.9","1-2-2025","File uploads","Je voegt een file upload mogelijkheid toe aan één van je formulieren, en zorgt dat de gegevens in de database worden opgeslagen. Het geuploade bestand toon of gebruik je vervolgens op jouw website",
10,"9.10","1-2-2025","Export data","Exporteer geselecteerde data naar een csv bestand dat je kunt downloaden via een download link door gebruik te maken van Models en Eloquent.",
